,Students age,Gender,Relationship status,Type of University,Father's education,Mother's education,Father's Occupation,Mother's Occupation,Family Income(monthly),Number of Siblings,Parental status,Previous School Location,Previous College Location,SSC result,HSC result,Scholarship in SSC,Scholarship in HSC,Accommodation,Weekly Study Time at home,Reading Scientific books/articles/journals,Reading Non-Scientific books/articles/journals,Attendance in class,Mid-Term Exam Preparation,Taking Exam Preparation,Taking Class Note,Any Co-curricular activity,Attend any Seminar related to department,Any part-time job,Smoking,Sports/ Exercise,Undergraduate 1st semester result (CGPA/GPA out of 4)
156,1,1,0,0,4,4,0,3,3,0,0,1,1,3,2,0,0,0,2,0,0,2,1,1,1,0,1,1,0,1,4
157,1,0,0,0,4,2,3,4,4,1,0,2,2,2,3,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,7
158,1,0,0,0,1,3,2,4,2,1,0,2,2,3,2,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,4
159,1,0,0,0,4,3,3,4,2,2,0,2,2,3,3,1,1,2,1,1,1,2,0,1,1,1,1,2,1,1,5
160,1,0,0,0,3,2,0,4,2,1,0,2,2,3,3,1,0,2,0,0,0,2,1,1,1,0,0,0,0,1,6
161,1,1,0,0,3,3,0,3,1,1,1,2,2,3,3,0,0,1,0,1,1,2,2,1,1,1,1,0,0,1,3
162,1,0,0,0,3,2,3,4,4,2,0,0,0,3,3,1,0,1,1,0,0,2,1,2,1,0,0,1,0,1,5
163,1,0,1,0,2,2,1,3,1,2,0,1,1,3,3,1,0,1,0,0,0,2,1,1,0,0,1,0,0,1,5
164,1,0,0,0,2,2,0,4,0,1,0,1,2,3,3,0,0,1,1,0,0,2,1,1,0,0,0,1,0,0,4
165,1,0,0,0,3,0,1,4,0,1,1,0,0,3,3,0,0,0,1,1,0,2,1,1,1,0,0,0,0,1,3
166,1,0,0,0,4,2,0,4,0,1,0,1,1,3,3,0,0,2,1,1,1,2,1,2,1,0,1,1,1,1,5
167,1,0,0,0,4,3,0,4,2,2,0,1,1,3,3,0,0,2,0,1,1,2,1,1,1,1,1,1,1,2,5
168,0,0,0,0,0,2,4,0,0,0,1,0,0,3,3,0,0,1,1,0,1,2,1,2,2,0,0,0,0,2,5
169,1,0,0,0,2,0,0,4,0,1,0,1,1,3,3,0,0,2,0,0,0,2,1,1,2,0,0,1,0,0,6
170,1,0,0,0,4,3,3,3,4,2,0,1,1,3,3,0,0,1,1,0,0,2,1,2,2,0,1,0,0,1,6
171,1,0,0,0,4,2,3,4,1,1,0,1,1,3,3,0,0,0,0,1,0,2,2,1,0,0,0,0,1,1,4
172,1,0,1,0,3,2,4,4,2,3,0,2,2,3,3,0,0,1,0,1,1,2,1,0,0,1,0,0,0,2,4
173,1,1,1,0,3,3,2,4,3,2,0,2,2,3,3,0,0,0,3,0,1,2,1,2,2,0,0,0,0,1,4
174,1,0,0,0,2,1,0,4,0,2,0,1,2,3,3,1,1,2,0,1,1,2,1,1,2,0,1,0,1,1,6
175,2,0,0,0,3,2,3,4,3,1,0,1,1,3,3,1,0,0,2,0,0,1,2,1,1,1,1,0,1,1,4
176,1,0,0,0,3,2,0,4,1,2,0,1,2,3,3,0,0,2,0,0,0,2,1,1,0,0,1,0,0,1,5
177,1,0,0,0,4,2,4,4,0,1,0,1,1,0,3,0,0,1,1,1,0,2,2,1,0,1,1,0,0,2,3
178,1,0,1,0,3,3,2,0,0,1,0,1,1,3,3,1,0,1,0,0,0,2,0,0,0,0,0,1,1,1,3
179,1,0,1,0,3,3,3,3,1,1,0,1,1,3,3,1,0,1,2,1,0,2,2,1,1,1,1,0,1,2,6
180,1,1,2,0,3,2,2,4,4,1,0,2,2,3,3,0,0,2,1,0,0,2,1,1,1,0,0,0,0,1,5
181,1,0,0,0,3,3,3,4,0,3,0,2,1,3,3,0,1,1,1,0,1,2,2,2,0,0,0,1,0,1,6
182,2,0,1,0,0,0,2,4,0,1,0,0,1,3,2,1,0,1,1,1,1,2,1,1,1,0,0,1,1,1,5
183,2,0,0,0,3,4,4,4,1,1,1,2,2,3,3,1,1,1,0,0,1,2,1,1,1,1,1,0,0,1,7
184,2,0,1,0,5,3,4,4,1,1,0,1,1,3,3,1,1,1,0,1,1,2,1,1,1,1,0,0,1,1,4
185,1,1,0,0,3,4,3,3,3,2,0,0,1,3,3,0,1,1,2,1,1,2,1,2,1,1,0,0,0,0,7
186,1,1,0,1,3,1,2,4,0,1,0,2,2,2,3,0,0,0,1,1,1,2,1,2,2,1,0,0,0,1,7
187,1,0,0,0,1,0,0,4,1,2,0,1,1,3,3,0,0,1,2,0,0,1,1,1,1,0,0,0,0,1,3
188,1,1,2,1,4,4,0,0,4,2,0,0,2,2,1,0,0,2,0,0,1,1,1,1,1,0,0,1,0,1,2
189,2,0,2,1,2,1,2,4,4,1,0,1,1,2,2,0,0,2,0,0,0,1,1,1,0,0,0,1,1,1,3
190,2,1,2,2,0,0,4,4,0,2,1,0,0,2,1,0,0,0,1,0,1,0,1,2,1,1,1,0,0,1,3
191,2,0,1,1,2,1,2,4,4,2,0,0,2,2,2,0,0,2,0,0,0,1,1,0,0,0,0,0,1,1,2
